SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
617GS2021,GOVERNMENT OF INDIA,GS,100,100,1,6.17,16-JUL-2019,,15-JUL-2021,,,,,IN0020190099
645GS2029,Government of India,GS,100,100,1,6.45,09-OCT-2019,,07-OCT-2029,,,,,IN0020190362
700GS2021,GOI LOAN 7.00% 2021,GS,100,100,1,7,22-JAN-2019,,21-JAN-2021,,,,,IN0020180470
726GS2029,GOVERNMENT OF INDIA,GS,100,100,1,7.26,15-JAN-2019,,14-JAN-2029,,,,,IN0020180454
727GS2026,GOVERNMENT OF INDIA,GS,100,100,1,7.27,09-APR-2019,,08-APR-2026,,,,,IN0020190016
732GS2024,GOVERNMENT OF INDIA,GS,100,100,1,7.32,29-JAN-2019,,,,,,,IN0020180488
757GS2033,GOVERNMENT OF INDIA,GS,100,100,1,7.57,21-MAY-2019,,17-JUN-2033,,,,,IN0020190065
762GS2039,GOVERNMENT OF INDIA,GS,100,100,1,7.62,09-APR-2019,,15-SEP-2039,,,,,IN0020190024
763GS2059,GOVERNMENT OF INDIA,GS,100,100,1,7.63,07-MAY-2019,,17-JUN-2059,,,,,IN0020190057
769GS2043,GOVERNMENT OF INDIA,GS,100,100,1,7.69,02-MAY-2019,,17-JUN-2043,,,,,IN0020190040
772GS2049,GOVERNMENT OF INDIA,GS,100,100,1,7.72,16-APR-2019,,15-JUN-2049,,,,,IN0020190032
BLUEDART,Blue Dart Express Limited,N3,10,10,1,9.5,28-NOV-2014,21-NOV-2014,20-NOV-2019,,,,,INE233B08103
BRITANNIA,Britannia Industries Limited,N2,30,30,1,8,09-OCT-2019,,28-AUG-2022,,,,,INE216A07052
DHFL,Dewan Housing Finance Corporation Limited,N3,1000,1000,1,8.74,19-AUG-2016,16-AUG-2016,16-AUG-2021,,,,,INE202B07HM9
DHFL,Dewan Housing Finance Corporation Limited,N4,1000,1000,1,8.88,19-AUG-2016,16-AUG-2016,16-AUG-2021,,,,,INE202B07HN7
DHFL,Dewan Housing Finance Corporation Limited,N5,1000,1000,1,8.74,19-AUG-2016,16-AUG-2016,16-AUG-2026,,,,,INE202B07HO5
DHFL,Dewan Housing Finance Corporation Limited,N6,1000,1000,1,8.93,19-AUG-2016,16-AUG-2016,16-AUG-2026,,,,,INE202B07HP2
DHFL,Dewan Housing Finance Corporation Limited,N9,1000,1000,1,9.1,19-AUG-2016,16-AUG-2016,16-AUG-2021,,,,,INE202B07HS6
DHFL,Dewan Housing Finance Corporation Limited,NA,1000,1000,1,9.25,19-AUG-2016,16-AUG-2016,16-AUG-2021,,,,,INE202B07HT4
DHFL,Dewan Housing Finance Corporation Limited,NB,1000,1000,1,9.1,19-AUG-2016,16-AUG-2016,16-AUG-2026,,,,,INE202B07HU2
DHFL,Dewan Housing Finance Corporation Limited,NC,1000,1000,1,9.3,19-AUG-2016,16-AUG-2016,16-AUG-2026,,,,,INE202B07HV0
DHFL,Dewan Housing Finance Corporation Limited,NF,1000,1000,1,0,19-AUG-2016,16-AUG-2016,16-AUG-2021,,,,,INE202B07HZ1
DHFL,Dewan Housing Finance Corporation Limited,NG,1000,1000,1,0,19-AUG-2016,16-AUG-2016,16-AUG-2026,,,,,INE202B07IA2
DHFL,Dewan Housing Finance Corporation Limited,NH,1000,1000,1,0,19-AUG-2016,16-AUG-2016,16-AUG-2026,,,,,INE202B07IB0
