SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ABSLDAF2DG,Aditya Birla Sun Life DAF - Series 2 (1180D)-DP-GO,MF,11-FEB-2019,10,1,INF209KB1E19,10
ABSLDAF2DN,Aditya Birla Sun Life DAF - Series 2 (1180D)-DP-DPO,MF,11-FEB-2019,10,1,INF209KB1E27,10
ABSLDAF2RG,Aditya Birla Sun Life DAF - Series 2 (1180D)-RP-GO,MF,11-FEB-2019,10,1,INF209KB1D93,10
ABSLDAF2RN,Aditya Birla Sun Life DAF - Series 2 (1180D)-RP-DPO,MF,11-FEB-2019,10,1,INF209KB1E01,10
ABSLFTOWDG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,15-DEC-2017,10,1,INF209KB1JM6,10
ABSLFTOWDN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,15-DEC-2017,10,1,INF209KB1JN4,10
ABSLFTOWDQ,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,15-DEC-2017,10,1,INF209KB1JO2,10
ABSLFTOWRG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,15-DEC-2017,10,1,INF209KB1JJ2,10
ABSLFTOWRN,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,15-DEC-2017,10,1,INF209KB1JK0,10
ABSLFTOWRQ,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Fixed Term P,MF,15-DEC-2017,10,1,INF209KB1JL8,10
ABSLFTOXDG,Aditya Birla Sun Life MF - ABSL FTP Sr. OX (1234D) DP - G,MF,19-DEC-2017,10,1,INF209KB1JS3,10
ABSLFTOXDN,Aditya Birla Sun Life MF - ABSL FTP Sr. OX (1234D) DP - NDP,MF,19-DEC-2017,10,1,INF209KB1JT1,10
ABSLFTOXDQ,Aditya Birla Sun Life MF - ABSL FTP Sr. OX (1234D) DP - QDP,MF,19-DEC-2017,10,1,INF209KB1JU9,10
ABSLFTOXRG,Aditya Birla Sun Life MF - ABSL FTP Sr. OX (1234D) RP - G,MF,19-DEC-2017,10,1,INF209KB1JP9,10
ABSLFTOXRN,Aditya Birla Sun Life MF - ABSL FTP Sr. OX (1234D) RP - NDP,MF,19-DEC-2017,10,1,INF209KB1JQ7,10
ABSLFTOXRQ,Aditya Birla Sun Life MF - ABSL FTP Sr. OX (1234D) RP - QDP,MF,19-DEC-2017,10,1,INF209KB1JR5,10
ABSLFTOYDG,Aditya Birla Sun Life MF - ABSL FTP Sr. OY (1218D) DP-G,MF,04-JAN-2018,10,1,INF209KB1JY1,10
ABSLFTOYDN,Aditya Birla Sun Life MF - ABSL FTP Sr. OY (1218D) DP- NDP,MF,04-JAN-2018,10,1,INF209KB1JZ8,10
ABSLFTOYDQ,Aditya Birla Sun Life MF - ABSL FTP Sr. OY (1218D) DP-QDP,MF,04-JAN-2018,10,1,INF209KB1KA9,10
ABSLFTOYRG,Aditya Birla Sun Life MF - ABSL FTP Sr. OY (1218D) RPG,MF,04-JAN-2018,10,1,INF209KB1JV7,10
ABSLFTOYRN,Aditya Birla Sun Life MF - ABSL FTP Sr. OY (1218D) RP - NDP,MF,04-JAN-2018,10,1,INF209KB1JW5,10
ABSLFTOYRQ,Aditya Birla Sun Life MF - ABSL FTP Sr. OY (1218D) RP - QDP,MF,04-JAN-2018,10,1,INF209KB1JX3,10
ABSLFTOZDG,Aditya Birla Sun Life MF - ABSL FTP Sr. OZ (1187D) DPG,MF,11-JAN-2018,10,1,INF209KB1KE1,10
ABSLFTOZDN,Aditya Birla Sun Life MF - ABSL FTP Sr. OZ (1187D) RPG,MF,11-JAN-2018,10,1,INF209KB1KF8,10
ABSLFTOZDQ,Aditya Birla Sun Life MF - ABSL FTP Sr. OZ (1187D) DPQDP,MF,11-JAN-2018,10,1,INF209KB1KG6,10
ABSLFTOZRG,Aditya Birla Sun Life MF - ABSL FTP Sr. OZ (1187D) RPG,MF,11-JAN-2018,10,1,INF209KB1KB7,10
ABSLFTOZRN,Aditya Birla Sun Life MF - ABSL FTP Sr. OZ (1187D) RPNDP,MF,11-JAN-2018,10,1,INF209KB1KC5,10
ABSLFTOZRQ,Aditya Birla Sun Life MF - ABSL FTP Sr. OZ (1187D) RPQDP,MF,11-JAN-2018,10,1,INF209KB1KD3,10
ABSLFTPADG,Aditya Birla Sun Life Mutual Fund - Fixed Term PLAN-DPG,MF,23-JAN-2018,10,1,INF209KB1KK8,10
ABSLFTPADN,Aditya Birla Sun Life Mutual Fund -Fixed Term Plan-DPNDP,MF,23-JAN-2018,10,1,INF209KB1KL6,10
ABSLFTPADQ,Aditya Birla Sun Life Mutual Fund -Fixed Term Plan-DPQDP,MF,23-JAN-2018,10,1,INF209KB1KM4,10
ABSLFTPARG,Aditya Birla Sun Life Mutual Fund - Fixed Term Plan-RPG,MF,23-JAN-2018,10,1,INF209KB1KH4,10
ABSLFTPARN,Aditya Birla Sun Life Mutual Fund - Fixed Term Plan-RPNDP,MF,23-JAN-2018,10,1,INF209KB1KI2,10
ABSLFTPARQ,Aditya Birla Sun Life Mutual Fund - Fixed Term PLAN-RPQDP,MF,23-JAN-2018,10,1,INF209KB1KJ0,10
ABSLFTPBDG,Aditya Birla Sun Life MF - ABSL FTP Sr. PB (1190D) DPG,MF,02-FEB-2018,10,1,INF209KB1KQ5,10
ABSLFTPBDN,Aditya Birla Sun Life MF - ABSL FTP Sr. PB (1190D) DPNDP,MF,02-FEB-2018,10,1,INF209KB1KR3,10
ABSLFTPBDQ,Aditya Birla Sun Life MF - ABSL FTP Sr. PB (1190D) DPQDP,MF,02-FEB-2018,10,1,INF209KB1KS1,10
ABSLFTPBRG,Aditya Birla Sun Life MF - ABSL FTP Sr. PB (1190D) RPG,MF,02-FEB-2018,10,1,INF209KB1KN2,10
ABSLFTPBRN,Aditya Birla Sun Life MF - ABSL FTP Sr. PB (1190D) RPNDP,MF,02-FEB-2018,10,1,INF209KB1KO0,10
ABSLFTPBRQ,Aditya Birla Sun Life MF - ABSL FTP Sr. PB (1190D) RPQDP,MF,02-FEB-2018,10,1,INF209KB1KP7,10
ABSLFTPCDG,Aditya Birla Sun Life MF - ABSL FTP Sr. PC (1169D) DPG,MF,12-FEB-2018,10,1,INF209KB1KW3,10
ABSLFTPCDN,Aditya Birla Sun Life MF - ABSL FTP Sr. PC (1169D) DPNDP,MF,12-FEB-2018,10,1,INF209KB1KX1,10
ABSLFTPCDQ,Aditya Birla Sun Life MF - ABSL FTP Sr. PC (1169D) DPQDP,MF,12-FEB-2018,10,1,INF209KB1KY9,10
ABSLFTPCRG,Aditya Birla Sun Life MF - ABSL FTP Sr. PC (1169D) RPG,MF,12-FEB-2018,10,1,INF209KB1KT9,10
ABSLFTPCRN,Aditya Birla Sun Life MF - ABSL FTP Sr. PC (1169D) RPNDP,MF,12-FEB-2018,10,1,INF209KB1KU7,10
ABSLFTPCRQ,Aditya Birla Sun Life MF - ABSL FTP Sr. PC (1169D) RPQDP,MF,12-FEB-2018,10,1,INF209KB1KV5,10
ABSLFTPDDG,Aditya Birla Sun Life Mutual Fund - Fixed Term Plan - DPG,MF,16-FEB-2018,10,1,INF209KB1LC3,10
ABSLFTPDDN,Aditya Birla Sun Life Mutual Fund - Fixed Term Plan - DPNDP,MF,16-FEB-2018,10,1,INF209KB1LD1,10
ABSLFTPDDQ,Aditya Birla Sun Life Mutual Fund - Fixed Term Plan - DPQDP,MF,16-FEB-2018,10,1,INF209KB1LE9,10
ABSLFTPDRG,Aditya Birla Sun Life Mutual Fund - Fixed Term Plan- RPG,MF,16-FEB-2018,10,1,INF209KB1KZ6,10
ABSLFTPDRN,Aditya Birla Sun Life Mutual Fund - Fixed Term Plan - RPNDP,MF,16-FEB-2018,10,1,INF209KB1LA7,10
ABSLFTPDRQ,Aditya Birla Sun Life Mutual Fund - Fixed Term Plan - RPQDP,MF,16-FEB-2018,10,1,INF209KB1LB5,10
ABSLFTPEDG,Aditya Birla Sun Life MF - ABSL FTP Sr. PE(1159D) DPG,MF,27-FEB-2018,10,1,INF209KB1LI0,10
ABSLFTPEDQ,Aditya Birla Sun Life MF - ABSL FTP Sr. PE(1159D) DPQDP,MF,27-FEB-2018,10,1,INF209KB1LK6,10
ABSLFTPERG,Aditya Birla Sun Life MF - ABSL FTP Sr. PE(1159D) RPG,MF,27-FEB-2018,10,1,INF209KB1LF6,10
ABSLFTPERN,Aditya Birla Sun Life MF - ABSL FTP Sr. PE(1159D) RPNDP,MF,27-FEB-2018,10,1,INF209KB1LG4,10
ABSLFTPERQ,Aditya Birla Sun Life MF - ABSL FTP Sr. PE(1159D) RPQDP,MF,27-FEB-2018,10,1,INF209KB1LH2,10
ABSLFTPFDG,Aditya Birla Sun Life Mutual Fund - FTP - DPG,MF,07-MAR-2018,10,1,INF209KB1LS9,10
ABSLFTPFDQ,Aditya Birla Sun Life Mutual Fund - FTP - DPQDP,MF,07-MAR-2018,10,1,INF209KB1LU5,10
ABSLFTPFRG,Aditya Birla Sun Life Mutual Fund - FTP - RPG,MF,07-MAR-2018,10,1,INF209KB1LP5,10
ABSLFTPFRN,Aditya Birla Sun Life Mutual Fund - FTP - RPNDP,MF,07-MAR-2018,10,1,INF209KB1LQ3,10
ABSLFTPFRQ,Aditya Birla Sun Life Mutual Fund - FTP - RPQDP,MF,07-MAR-2018,10,1,INF209KB1LR1,10
ABSLFTPGDG,Aditya Birla Sun Life FTP-DPG,MF,09-MAR-2018,10,1,INF209KB1LY7,10
ABSLFTPGDN,Aditya Birla Sun Life FTP-DPNDP,MF,09-MAR-2018,10,1,INF209KB1LZ4,10
ABSLFTPGDQ,Aditya Birla Sun Life FTP-DPQDP,MF,09-MAR-2018,10,1,INF209KB1MA5,10
ABSLFTPGRG,Aditya Birla Sun Life FTP-RPG,MF,09-MAR-2018,10,1,INF209KB1LV3,10
ABSLFTPGRN,Aditya Birla Sun Life FTP-RPNDP,MF,09-MAR-2018,10,1,INF209KB1LW1,10
ABSLFTPGRQ,Aditya Birla Sun Life FTP-RPQDP,MF,09-MAR-2018,10,1,INF209KB1LX9,10
ABSLFTPHDG,Aditya Birla Sun Life FTP- DPG,MF,13-MAR-2018,10,1,INF209KB1ME7,10
ABSLFTPHDQ,Aditya Birla Sun Life FTP- DPQDP,MF,13-MAR-2018,10,1,INF209KB1MG2,10
ABSLFTPHRG,Aditya Birla Sun Life FTP- RPG,MF,13-MAR-2018,10,1,INF209KB1MB3,10
ABSLFTPHRQ,Aditya Birla Sun Life FTP- RPQDP,MF,13-MAR-2018,10,1,INF209KB1MD9,10
ABSLFTPIDG,Aditya Birla Sun Life MF - ABSL FTP Sr. PI (1140 D) DPG,MF,15-MAR-2018,10,1,INF209KB1MW9,10
ABSLFTPIDN,Aditya Birla Sun Life MF - ABSL FTP Sr. PI (1140 D) DPNDP,MF,15-MAR-2018,10,1,INF209KB1MX7,10
ABSLFTPIDQ,Aditya Birla Sun Life MF - ABSL FTP Sr. PI (1140 D) DPQDP,MF,15-MAR-2018,10,1,INF209KB1MY5,10
